Назва товару,Ціна,Стан,Дата публікації,Місто,Район,Координати на карті,Продавець,Магазин,Посилання на оголошення
"Fuji Jari carbon 1.1 гравийник, гравел, циклокросс за 1860$",74 390 грн.,Б/в,2022-02-17,Одеса,Київський,"46.38471, 30.70913",Руслан,velomedutin,https://www.olx.ua/d/uk/obyavlenie/fuji-jari-carbon-1-1-graviynik-gravel-tsiklokross-za-1860-IDOcqqh.html
"Топовый велосипед Canyon R096 RoadLite SL гравел, шоссейный urban",29 990 грн.,Б/в,2021-12-30,Ірпінь,,"50.51752, 30.2593",Артём,,https://www.olx.ua/d/uk/obyavlenie/topovyy-velosiped-canyon-r096-roadlite-sl-gravel-shosseynyy-urban-IDNLz31.html
"Gravel, Гравел, Циклокрос Norco Search 105 50",30 000 грн.,Б/в,2022-07-12,Чернівці,,"48.3, 25.93",Василь,,https://www.olx.ua/d/uk/obyavlenie/gravel-gravel-tsiklokros-norco-search-105-50-IDP73Zx.html
Циклокроссовый Gravel/Endurance велосипед Merida Cyclocross 100 2019,700 грн.,Б/в,2020-12-07,Маріуполь,,"47.12688, 37.56024",Александр,,https://www.olx.ua/d/uk/obyavlenie/tsiklokrossovyy-gravel-endurance-velosiped-merida-cyclocross-100-2019-IDK3JUm.html
"Велосипед dolan multi-x кроссовый , гравел , ендюренс",999 грн.,Б/в,2022-04-28,Черкаси,,"49.4141, 32.06042",Ростислав,,https://www.olx.ua/d/uk/obyavlenie/velosiped-dolan-multi-x-krossovyy-gravel-endyurens-IDOwc3b.html
Велотуфли Shimano SH-XC500MG (Grey) EU45,1 800 грн.,Б/в,2022-02-06,Черкаси,,"49.4141, 32.06042",Александр,,https://www.olx.ua/d/uk/obyavlenie/velotufli-shimano-sh-xc500mg-grey-eu45-IDO5Gsx.html
Велосипед 26 мтб Kalkhoff  old gravel,4 200 грн.,Б/в,2022-07-08,Київ,Дарницький,"50.40931, 30.69263",Дмитрий,,https://www.olx.ua/d/uk/obyavlenie/velosiped-26-mtb-kalkhoff-old-gravel-IDP532I.html
"Продам Gravel Skyland (mtb drop-bar, гревел, гравийник)",5 000 грн.,Б/в,2021-05-24,Черкаси,,"49.4141, 32.06042",Андрей,,https://www.olx.ua/d/uk/obyavlenie/prodam-gravel-skyland-mtb-drop-bar-grevel-graviynik-IDLIgGN.html
Продам mtb велосипед,5 500 грн.,Б/в,2022-08-09,Київ,Дарницький,"50.40931, 30.69263",Саша,,https://www.olx.ua/d/uk/obyavlenie/prodam-mtb-velosiped-IDPlYSU.html
Продам или обменяю Author Impulse,5 950 грн.,Б/в,2022-04-03,Київ,Солом'янський,"50.41313, 30.44339",Женя,,https://www.olx.ua/d/uk/obyavlenie/prodam-ili-obmenyayu-author-impulse-IDOmkPx.html
