Назва товару,Ціна,Стан,Дата публікації,Місто,Район,Координати на карті,Продавець,Магазин,Посилання на оголошення
Велосипед Циклокрос Гравел Rose BackRoab карбон,67 000 грн.,Б/у,2022-05-23,Черновцы,,"48.3, 25.93",Василь,,https://www.olx.ua/d/obyavlenie/velosiped-tsiklokros-gravel-rose-backroab-karbon-IDOGTMm.html
Повний комплект!! Електро CUBE NUROAD HYBRID C:62 карбон GRX Гравел,68 500 грн.,Б/у,2021-10-13,Черновцы,,"48.3, 25.93",Ігор,ROWEROK,https://www.olx.ua/d/obyavlenie/povniy-komplekt-elektro-cube-nuroad-hybrid-c62-karbon-grx-gravel-IDN0Yme.html
Specialized DIVERGE E5 COMP 2021 (Gravel/GRX/DT SWISS/BROOKS),69 000 грн.,Б/у,2022-04-27,Миргород,,"49.95638, 33.60708",Олександр,,https://www.olx.ua/d/obyavlenie/specialized-diverge-e5-comp-2021-gravel-grx-dt-swiss-brooks-IDOuDdx.html
Електро велосипед Giant Explore E+2 Stagger Frame,70 874 грн.,Новый,2022-05-19,Львов,Сиховский,"49.792, 24.064",Vlad,,https://www.olx.ua/d/obyavlenie/elektro-velosiped-giant-explore-e-2-stagger-frame-IDOEwec.html
Карбоновый гравийный велосипед Author Guru grx cube scott rondo canyon,71 400 грн.,Новый,2021-10-01,Киев,Дарницкий,"50.40931, 30.69263",ЄвроБайк,Euro.bike,https://www.olx.ua/d/obyavlenie/karbonovyy-graviynyy-velosiped-author-guru-grx-cube-scott-rondo-canyon-IDMUac7.html
Продам карбоновый циклокросс cannondale superx,73 828 грн.,Б/у,2021-10-22,Харьков,Новобаварский,"49.94667, 36.15974",Дмитрий,,https://www.olx.ua/d/obyavlenie/prodam-karbonovyy-tsiklokross-cannondale-superx-IDN6i2W.html
Cross/Gravel велосипед Canyon Inflite CF SL 8.0 2021,78 257 грн.,Б/у,2022-02-13,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/cross-gravel-velosiped-canyon-inflite-cf-sl-8-0-2021-IDOajsU.html
Гравел BMC URS FOUR 2020. Trek Scott,79 438 грн.,Б/у,2021-05-29,Киев,Днепровский,"50.45964, 30.61717",Веломан,ВЕЛОМАН,https://www.olx.ua/d/obyavlenie/gravel-bmc-urs-four-2020-trek-scott-IDLLgI1.html
"Велосипед алюминий гревел  Crosser Gravel NORD 28"" Giant гравел гревэл",8 990 грн.,Новый,2021-05-31,Одесса,Киевский,"46.38471, 30.70913",Велобокс,ВЕЛОБОКС,https://www.olx.ua/d/obyavlenie/velosiped-alyuminiy-grevel-crosser-gravel-nord-28-giant-gravel-grevel-IDLMQQw.html
"Гравел велосипед Crosser Nord  28""",9 000 грн.,Новый,2021-04-28,Одесса,Киевский,"46.38471, 30.70913",Артур,А-ВЕЛО,https://www.olx.ua/d/obyavlenie/gravel-velosiped-crosser-nord-28-IDLtCMo.html
"Велосипед гравийный DeMARCHE Gravel Point 28"" L-TWOO (18S, 2х9)",15 000 грн.,Невідомо,2022-04-24,Одесса,Приморский,"46.467, 30.745",Александр Crosser Official,Crosser bike official,https://www.olx.ua/d/obyavlenie/velosiped-graviynyy-demarche-gravel-point-28-l-twoo-18s-2h9-IDOtnAO.html
"Велосипед Merida Silex 6000 (2021) metallic teal / Gravel, гревел",80 000 грн.,Новый,2022-05-19,Киев,Шевченковский,"50.47135, 30.4624",Богдан,ТОВ «Аш Бі Медікал»,https://www.olx.ua/d/obyavlenie/velosiped-merida-silex-6000-2021-metallic-teal-gravel-grevel-IDOEFte.html
Гравел\циклокрос Canyon Grail CF SL GRX Di2 gravel bike,85 345 грн.,Б/у,2022-05-07,Львов,Франковский,"49.839, 23.995",Віталік,VeloLive,https://www.olx.ua/d/obyavlenie/gravel-tsiklokros-canyon-grail-cf-sl-grx-di2-gravel-bike-IDOyOTc.html
Електро велосипед Giant Explore E+2 (L),85 640 грн.,Новый,2022-05-25,Львов,Сиховский,"49.792, 24.064",Vlad,,https://www.olx.ua/d/obyavlenie/elektro-velosiped-giant-explore-e-2-l-IDOHzgo.html
Open U.P New gravel carbon specialized scott trek bmc 3t cube bianchi,86 000 грн.,Новый,2022-04-02,Ивано-Франковск,,"48.91819, 24.71343",Назар,,https://www.olx.ua/d/obyavlenie/open-u-p-new-gravel-carbon-specialized-scott-trek-bmc-3t-cube-bianchi-IDOm69u.html
Гравійний електро велосипед Gravel Stevens E-GETAWAY Carbon (2021) ЯК,90 000 грн.,Б/у,2022-05-16,Черновцы,,"48.3, 25.93",Ігор,ROWEROK,https://www.olx.ua/d/obyavlenie/gravyniy-elektro-velosiped-gravel-stevens-e-getaway-carbon-2021-yak-IDOCS3I.html
Frm terrae gravel carbon Italy Eagle axs etap bianchi bmc scott trek,91 625 грн.,Б/у,2021-10-07,Ивано-Франковск,,"48.91819, 24.71343",Назар,,https://www.olx.ua/d/obyavlenie/frm-terrae-gravel-carbon-italy-eagle-axs-etap-bianchi-bmc-scott-trek-IDMXAnA.html
